mean,std,min,max,median,skewness,kurtosis,range,depth_proxy,q_0_1,q_0_25,q_0_75,q_0_9,periodogram_peak_frequency,periodogram_peak_power,label
0.001036030111435271,0.9725467576617086,-2.6449132121130554,2.1346412186361547,-0.02472312714350809,-0.22197702596497507,-0.765572381736761,4.77955443074921,2.6201900849695474,-1.2686816584785885,-0.7283224690808549,0.9146732941428569,1.2292616531274199,0.998046875,0.8036865712568159,1
-0.20192687093484674,0.8094705095287932,-3.1389583649992447,1.9391457160994727,-0.2787315704530464,0.16973530341535234,1.0341089383389557,5.078104081098718,2.8602267945461985,-0.9941690127236074,-0.7174725777713369,0.1439088494407197,0.9866471939884414,4.990234375,0.25433204384383623,1
0.009329386588673355,0.937166632522278,-2.1653816663908487,2.0701407550069595,-7.358761177198058e-05,-0.010588810806123132,-1.104597668883196,4.235522421397809,2.1653080787790766,-1.0760574158753735,-0.8136887552713277,0.8379941657369774,1.2183349981960852,1.99609375,0.6611054967954608,1
-0.00515518496689348,0.9273066967062171,-2.1691476009623427,1.9234471554982584,0.012149440006484517,-0.023904134297529953,-1.1497406012724676,4.092594756460601,2.1812970409688273,-1.2166153280854923,-0.8429861966054866,0.7917381382897487,1.232190476306566,58.884765625,0.7339367985027491,0
-0.03404771192575881,0.5782137336176608,-1.7356880581914873,1.5961831142829908,-0.07336862735635674,0.23162769471897185,0.12424442334373831,3.331871172474478,1.6623194308351306,-0.6909104441988514,-0.43919259474559613,0.34336785249285284,0.7140368711334003,0.998046875,0.049029003128693106,1
0.026508849692752856,0.8864791264565021,-2.0333522758118545,1.9594230155184136,0.07799850844005675,-0.043472370544214246,-1.0140597636961945,3.9927752913302683,2.1113507842519113,-1.1307496520293892,-0.7572095638843306,0.7862789486786332,1.191304558123037,0.998046875,0.6065825639364704,1
-0.00021045894788032649,0.921364518639949,-2.7343011683077156,1.6609223190139135,0.06234771689064011,-0.38637225348178156,-0.5244491150939914,4.395223487321629,2.7966488851983557,-1.1738756464334346,-0.7258823517648244,0.8079919918497505,1.1383994661798154,69.86328125,0.6835610387797646,1
0.014314754205190898,0.9707385502171142,-2.0972578164334736,1.9212469972590538,-0.0782411020073186,0.00615746548957236,-1.1546453291833731,4.018504813692528,2.0190167144261553,-1.2278093582418674,-0.7856500853544839,1.0010935334915287,1.3158976578048631,43.9140625,0.6657711985691258,1
0.0060408642595773665,0.7591470808949663,-1.553192780704194,1.831101135808166,-0.02591118137544588,0.09732656324103658,-0.7812263430765087,3.38429391651236,1.5272815993287483,-1.0114898535490893,-0.5863212609928871,0.6051886846720329,1.0330547250383628,125.75390625,0.3316363634309907,0
0.023905254606347428,0.6732165031739213,-1.9095146428168481,2.068411362113384,-0.03861357256367859,0.16588396573908296,-0.2530391193529802,3.9779260049302323,1.8709010702531694,-0.8122859047348922,-0.47505348649882584,0.49452289770008706,0.9128555015972377,236.537109375,0.06799049012320009,1
-0.0006435906276320048,0.816434200049328,-2.0288564747399644,2.254062074298628,-0.0063929962476228655,0.0817659535312708,-0.8138879365638774,4.282918549038593,2.0224634784923414,-1.0328224283924017,-0.663445476129294,0.6206933917394772,1.0987311431293192,125.75390625,0.4594487198723538,1
